"Colt"	"Scale b=alpha*a"	false	3
3	20
4.443428382268086E7	"null"
4.567996131850177E7	"null"
4.515515309237604E7	"null"
4.5896613118258804E7	"null"
4.615839296597436E7	"null"
4.560304553162543E7	"null"
4.558543449380723E7	"null"
4.629092377531032E7	"null"
4.692483154940086E7	"null"
4.686124096268031E7	"null"
4.6607216674528174E7	"null"
4.6753305495237455E7	"null"
4.65052158418888E7	"null"
4.648648194777505E7	"null"
4.67119293416459E7	"null"
4.6275327757689E7	"null"
4.598901571781281E7	"null"
4.625524577627297E7	"null"
4.56750811196186E7	"null"
4.696283353748692E7	"null"
4	-1
5	-1
