"Colt"	"Eigen for Symm Matrices"	false	3
3	20
524947.7074457145	"null"
616075.1392734116	"null"
684536.2508648565	"null"
715350.7836916342	"null"
721990.6668357773	"null"
743535.3643227472	"null"
746337.6670479871	"null"
750201.7892820658	"null"
688574.5754933456	"null"
755293.7958913256	"null"
730429.6063412697	"null"
743164.2820830139	"null"
649064.1016496674	"null"
750776.8277767749	"null"
747930.8737152223	"null"
527391.2756644419	"null"
682006.1730976738	"null"
685803.168273954	"null"
746444.2123281334	"null"
684217.6985899389	"null"
4	-1
5	-1
