"Colt"	"Determinant"	false	3
3	25
2741951.457274152	"null"
2647485.8418483934	"null"
2665874.3123820405	"null"
2754528.844183375	"null"
2753798.3255109647	"null"
2734723.2621863666	"null"
2737104.6143478155	"null"
2776897.609409505	"null"
2775035.617767145	"null"
2793579.447036092	"null"
2842015.689385264	"null"
2697604.252357147	"null"
2745166.1672924533	"null"
2737032.784242825	"null"
2766366.629618262	"null"
2747365.4875564356	"null"
2774857.1009178264	"null"
2786234.457367584	"null"
2746794.3620205345	"null"
2814231.1496281563	"null"
2580426.0927710054	"null"
2457151.8443527697	"null"
2629044.165637726	"null"
2714565.8247880046	"null"
2727396.5826570126	"null"
4	-1
5	-1
