11,137,(0x89),l2f,val:val,val
11,138,(0x8a),l2d,val:val,val:val
11,139,(0x8b),f2i,val,int_val
11,140,(0x8c),f2l,val,val:val
11,141,(0x8d),f2d,val,val:val
11,142,(0x8e),d2i,val:val,int_val
11,143,(0x8f),d2l,val:val,val:val
11,144,(0x90),d2f,val:val,val
11,145,(0x91),i2b,int_val,val
11,146,(0x92),i2c,int_val,val
11,147,(0x93),i2s,int_val,val
11,192,(0xc0),checkcast,objref,objref
12,148,(0x94),lcmp,val:val:val:val,val
12,149,(0x95),fcmpl,val:val,val
12,150,(0x96),fcmpg,val:val,val
12,151,(0x97),dcmpl,val:val:val:val,val
12,152,(0x98),dcmpg,val:val:val:val,val
13,159,(0x9f),if_icmpeq,val:val,no
13,160,(0xa0),if_icmpne,val:val,no
13,161,(0xa1),if_icmplt,val:val,no
13,162,(0xa2),if_icmpge,val:val,no
13,163,(0xa3),if_icmpgt,val:val,no
13,164,(0xa4),if_icmple,val:val,no
13,165,(0xa5),if_acmpeq,val:val,no
13,166,(0xa6),if_acmpne,val:val,no
13,153,(0x99),ifeq,val,no
13,154,(0x9a),ifne,val,no
13,155,(0x9b),iflt,val,no
13,156,(0x9c),ifge,val,no
13,157,(0x9d),ifgt,val,no
13,158,(0x9e),ifle,val,no
13,198,(0xc6),ifnull,val,no
13,199,(0xc7),ifnonnull,val,no
13,167,(0xa7),goto,no,no
13,168,(0xa8),jsr,no,address
13,200,(0xc8),goto_w,no,no
13,201,(0xc9),jsr_w,no,address
14,178,(0xb2),getstatic,no,val
14,180,(0xb4),getfield,no,val
15,179,(0xb3),putstatic,val,no
15,181,(0xb5),putfield,val,no
16,182,(0xb6),invokevirtual,objref:args_depend,return_val
16,183,(0xb7),invokespecial,objref:args_depend,return_val
16,184,(0xb8),invokestatic,args_depend,return_val
16,185,(0xb9),invokeinterface,objref:args_depend,return_val
16,186,(0xba),invokedynamic,no,no
17,187,(0xbb),new,no,objref
17,188,(0xbc),newarray,int_val,objref
17,189,(0xbd),anewarray,int_val,objref
17,197,(0xc5),multianewarray,args_depend,objref
18,190,(0xbe),arraylength,objref,int_val
18,191,(0xbf),athrow,objref,objref
18,193,(0xc1),instanceof,objref,val
18,194,(0xc2),monitorenter,objref,no
18,195,(0xc3),monitorexit,objref,no
19,169,(0xa9),ret,no,no
19,170,(0xaa),tableswitch,int_val,no
19,171,(0xab),lookupswitch,val,no
19,172,(0xac),ireturn,int_val,no
19,173,(0xad),lreturn,val:val,no
19,174,(0xae),freturn,val,no
19,175,(0xaf),dreturn,val:val,no
19,176,(0xb0),areturn,objref,no
19,177,(0xb1),return,no,no
20,196,(0xc4),wide,no,no
20,202,(0xca),breakpoint,no,no
20,254,(0xfe),impdep1,no,no
20,255,(0xff),impdep2,no,no
