"Colt"	"Invert b=inv(a)"	false	1
5	20
570522.0798681822	"null"
580283.6718330177	"null"
557071.7486852021	"null"
599407.3413067041	"null"
627262.9506934094	"null"
586261.1352682103	"null"
583396.080715579	"null"
638970.8204412073	"null"
571224.8725636913	"null"
571584.9079637144	"null"
595484.1424314186	"null"
587303.9720743011	"null"
542574.3513341313	"null"
561101.8765628544	"null"
583541.909620486	"null"
590971.2907451913	"null"
625066.8550772311	"null"
588970.1947068091	"null"
596436.1230981945	"null"
584663.9302105668	"null"
